t,E,dt,integrator,sx,sy,vx,vy,ax,ay
0.005,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.01,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.015,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.02,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.024999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.029999997,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.034999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.039999995,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.044999994,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.049999993,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.054999992,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.05999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06499999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.074999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.08,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.085,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.09,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.095000006,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.10000001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.10500001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.110000014,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.11500002,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.12000002,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.12500001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.13000001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.135,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.14,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.145,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.14999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.15499999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.15999998,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.16499998,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.16999997,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.17499997,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.17999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.18499996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.18999995,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.19499995,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.19999994,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.20499994,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.20999993,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.21499993,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.21999992,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
